Speed_100m_m/s,Direction_100m_degrees,Temperature_2m_degrees_C,Pressure_0m_kPa
9.29,350.1,23,100.9
9.67,349.4,22.6,100.9
9.94,349.5,22.3,100.9
10.19,348.9,22.5,100.8
10.34,348.7,22,100.8
10.5,349,22.2,100.8
10.87,350.1,23,100.9
11.1,350.8,22.7,100.9
11.02,349.4,23.3,101
11.88,348.6,24.1,101.1
12.45,348.7,25.7,101.1
13,349.6,27.7,101.1
12.52,346.6,27.8,101
12.26,346,28.5,100.9
11.98,347.3,28.2,100.8
12.33,350.6,28.2,100.7
12.5,351.1,25.7,100.8
12.64,349.1,24.9,100.8
14.31,348,24,100.9
14.78,349,23.4,100.9
15.14,349.1,22.7,101.1
15.02,348.4,21.5,101.1
14.31,346.6,21.1,101.2
14.76,345.5,20.4,101.1
14.55,345.2,20.4,101.1
14.39,345.1,20.3,101.1
14.68,345.6,19.6,101.1
15.03,346,19.8,101
14.52,347.7,18.6,101
14.43,349.6,18.4,101
14.92,349.6,19,101
14.8,349.4,19.1,101.1
15.17,348.2,19.3,101.1
15.69,348.4,19.9,101.2
15.95,348.6,20.7,101.2
15.95,348.7,22.3,101.2
15.79,348.8,23,101.1
15.66,349.2,23.1,101
15.28,350,23.3,100.9
15.02,350.4,23.2,100.8
15.26,350.9,21.4,100.8
13.94,351.7,21.3,100.8
12.67,352.6,21,100.8
12.83,352.4,20.8,100.8
13.85,351.3,21,100.9
13.67,350.8,19.1,100.9
13.28,350.4,19.3,100.9
13.15,350.3,19.5,100.9
13.07,349.7,19.7,100.9
13.31,349.4,20,100.9
13.46,348.9,19.8,100.9
13.43,349,19.7,100.9
13.09,349.7,19.6,100.8
13.01,350.2,19.5,100.9
13.05,350.3,20.4,100.9
13.24,349.7,20.4,101
13.32,347.7,20.5,101.1
14.6,347,20.7,101.2
15,347.4,21.6,101.2
15.14,347.6,23.6,101.2
15.17,347.4,23.2,101.1
15.16,347,23.1,101
15.67,347,23.3,100.9
16.25,347.1,23.1,100.9
16.45,348.8,20.8,100.8
16.01,348.9,20.2,100.9
15.21,348.4,20,100.9
16.26,349.1,19.5,101
16.32,348.8,19.7,101.1
15.96,348.7,18.5,101.1
15.73,348.5,18.5,101.1
15.59,348.3,18.7,101.1
15.36,347.6,18.7,101.1
15.24,347.9,18.7,101
15.21,347.8,17.8,101
15.12,348.8,17.7,101
15.38,348.1,16.5,101
15.08,350,16.7,101
14.87,350.8,17.5,101.1
14.56,350.9,17.3,101.1
14.44,349.9,17.8,101.2
14.87,350.2,18.4,101.2
15.15,350.7,19.1,101.2
15.21,351.4,21.5,101.2
15.28,351.8,22.2,101.2
15.29,353.3,22.3,101.1
15.23,354.2,23.4,101
15.13,353.7,23.6,100.9
14.97,352.8,21,100.9
14.62,351.1,20.7,100.9
13.59,348,20.5,101
13.23,348.7,20.5,101
13.72,350.3,20,101.1
13.47,349.3,19.5,101.2
13.17,348.5,19.3,101.2
12.98,348.1,18.7,101.2
12.91,347.6,17.9,101.2
12.9,347.5,17.8,101.2
12.58,347.3,17.9,101.1
12.37,347.8,17.4,101.1
11.95,349,16.9,101.1
11.97,350.6,16.8,101
12.01,351.5,17.9,101.1
12.05,352.1,17.9,101.2
11.11,350.4,18.4,101.2
11.55,351.3,19.2,101.3
12.26,354.5,20.8,101.3
11.97,355.5,24.5,101.2
11.62,355.4,24.9,101.2
11.47,355,25.3,101.1
11.69,355.3,26.7,101
11.94,356,26.7,100.9
12.01,357.5,23.6,100.9
11.8,352.8,22.8,100.9
12.55,350.7,22.5,101
12.74,351.2,22.1,101
12.79,350.6,21.4,101.1
12.73,348.9,20.5,101.1
12.72,347.3,20.3,101.2
12.7,346.2,20.8,101.2
12.55,346.1,20.8,101.1
12.28,346.4,20.8,101.1
12.18,346.2,20.4,101
12.43,346.6,20.5,101
12.23,347,18.7,101
12.28,348.8,18.7,101
12.31,350.5,18.7,101
12.28,350.6,18.7,101.1
12.07,348,20.1,101.1
12.95,352.1,21.8,101.2
12.37,352.6,23.5,101.2
12.69,354.3,26.6,101.2
12.89,356,26.6,101.2
13.17,357,26.5,101
13.13,357.6,26.2,100.9
13.22,358.3,26.3,100.8
12.78,357.7,25.2,100.8
12.03,353.3,24.5,100.8
12.64,351.3,23.6,100.8
12.84,351.9,23.3,100.9
12.84,352.9,23,101
12.55,354.1,22.6,101
12.09,354.4,22.5,101
11.55,354,21.3,101
11.15,352.3,21.7,101
11.2,350.7,21.9,101
11.2,350.2,21,100.9
11.14,349.7,20.6,100.9
10.68,348.5,18.5,100.9
10.81,349.3,18.5,100.9
10.8,349.6,18.3,101
10.52,350.2,18.5,101
9.98,347.9,20.1,101.1
10.21,351.3,21.3,101.1
10.24,353.1,23.9,101.1
10.12,353.9,27.8,101
9.7,353.4,28.2,100.9
9.47,353.4,28.2,100.8
9.38,352.9,28.9,100.6
9.22,353,28.7,100.5
8.75,352.2,26.6,100.5
8.64,351.4,26.2,100.5
8.94,351.9,25.7,100.6
8.97,355.3,24.8,100.6
8.63,355.1,23.5,100.7
8.39,353.1,22.1,100.7
8.05,352,21.4,100.7
7.49,350.9,19.7,100.7
6.97,350,19.1,100.7
6.31,350.1,19.1,100.6
5.64,351.5,17.3,100.6
5.03,351.8,17.3,100.5
4.74,351.9,15.2,100.6
3.9,356.4,15.1,100.5
3.27,0.9,15.5,100.6
2.52,2.6,15.3,100.6
2.26,2.3,17.8,100.7
1.57,2.9,22,100.8
0.84,7,23.8,100.9
0.46,326,29.9,100.8
1.66,330.5,30.6,100.7
3.67,340.7,31,100.6
5.99,345.9,32.7,100.5
8.01,348.7,31,100.5
9.26,352,28.5,100.5
